,Datetime,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-10-16 14:18:19.495778,486,461,489,455,484,456,501,455,0,0,515,479,481,479,522,512,473,512,525,542,467,542,504,539,483,538,488,591,485,591,477,635,491,635,None
2,2020-10-16 14:18:19.757906,464,455,467,451,463,451,482,452,0,0,497,476,465,474,498,511,460,506,483,534,455,531,483,540,462,538,481,587,442,582,481,631,456,627,None
3,2020-10-16 14:18:20.015418,442,459,446,454,442,454,461,455,0,0,479,481,441,480,477,517,435,511,459,539,435,538,465,547,438,546,471,591,429,595,479,632,411,643,move recession
4,2020-10-16 14:18:20.270340,421,459,425,454,419,454,439,454,0,0,457,482,414,481,460,519,405,515,464,551,399,545,440,547,415,547,442,598,409,596,467,638,411,642,move right
5,2020-10-16 14:18:20.524272,407,454,411,450,405,450,425,452,405,452,443,478,397,479,460,510,385,512,465,544,371,541,429,544,403,544,419,593,404,593,422,646,409,645,move advance
6,2020-10-16 14:18:20.777715,394,462,399,456,394,456,415,459,0,0,432,488,384,485,447,521,372,518,457,554,361,546,417,553,391,553,407,606,400,607,404,649,404,649,move advance
7,2020-10-16 14:18:21.034321,390,458,394,454,388,452,409,454,0,0,426,485,377,480,436,523,366,519,434,559,361,550,408,553,380,552,399,608,378,607,399,655,396,655,None
8,2020-10-16 14:18:21.288756,386,457,391,452,382,452,401,453,378,453,419,481,368,482,423,521,358,518,415,553,351,550,400,554,371,551,398,609,364,607,391,659,385,658,move advance
9,2020-10-16 14:18:21.542713,374,466,378,460,369,461,388,459,364,461,405,486,355,489,414,521,344,530,411,556,339,563,392,561,360,562,394,611,356,620,395,662,354,674,move advance
10,2020-10-16 14:18:21.798382,361,465,365,460,356,461,375,456,351,460,393,483,340,489,408,520,330,529,416,554,325,561,382,559,351,561,384,616,347,622,374,668,356,673,move advance
11,2020-10-16 14:18:22.055283,359,465,363,463,354,463,371,460,347,461,388,482,333,488,403,520,323,527,415,556,317,560,380,557,348,561,380,619,347,623,373,679,353,677,None
12,2020-10-16 14:18:22.310675,371,476,373,470,366,472,0,0,354,467,390,490,333,494,402,528,322,533,412,566,315,571,379,569,345,570,376,634,346,633,377,698,353,686,move advance
13,2020-10-16 14:18:22.573960,374,493,378,487,367,488,385,479,356,478,398,493,336,497,407,534,324,542,410,575,318,578,382,575,345,577,383,637,340,634,378,696,347,685,move advance
